date,city,service_id,service_name,booking_count,day_of_week,is_weekend,month,day_of_month
2026-03-07,Ahmedabad,srv-ac-01,AC Deep Foam Jet Servicing,6,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-carp-01,Carpentry & Furniture Assembly,6,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-clean-01,Full Home Deep Cleaning,14,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-cook-01,Home Chef & Meal Preparation,5,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-elder-01,Elder Assistance & Companionship,4,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-elec-01,Electrical Repair & Wiring,7,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-garden-01,Gardening & Balcony Greenery,7,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-move-01,Moving & Heavy Lifting Assistance,4,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-paint-01,Wall Painting & Waterproofing,4,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-pest-01,Organic Pest Control,5,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-plumb-01,Plumbing Repair & Leakage Fix,7,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-soc-clean-01,Society Common Area Sanitization,3,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-soc-event-01,Community Event Sound & Electrical Setup,5,Saturday,1,3,7
2026-03-07,Ahmedabad,srv-soc-tank-01,Water Sump & Overhead Tank Cleaning,1,Saturday,1,3,7
2026-03-07,Bengaluru,srv-ac-01,AC Deep Foam Jet Servicing,8,Saturday,1,3,7
2026-03-07,Bengaluru,srv-carp-01,Carpentry & Furniture Assembly,7,Saturday,1,3,7
2026-03-07,Bengaluru,srv-clean-01,Full Home Deep Cleaning,19,Saturday,1,3,7
2026-03-07,Bengaluru,srv-cook-01,Home Chef & Meal Preparation,7,Saturday,1,3,7
2026-03-07,Bengaluru,srv-elder-01,Elder Assistance & Companionship,6,Saturday,1,3,7
2026-03-07,Bengaluru,srv-elec-01,Electrical Repair & Wiring,8,Saturday,1,3,7
2026-03-07,Bengaluru,srv-garden-01,Gardening & Balcony Greenery,10,Saturday,1,3,7
