# Synthetic prototype data — not real customer bookings. DO NOT insert into public.bookings.
provider_id,date,city,service_id,service_name,booking_count,completed_count,cancelled_count,rejected_count,rating,active_jobs,daily_earnings_proxy
prov-ahmedabad-most-01,2026-07-05,Ahmedabad,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.78,0,1258
prov-ahmedabad-home-chef-meal-preparation,2026-07-05,Ahmedabad,srv-elder-01,Elder Assistance & Companionship,2,2,0,0,4.9,1,916
prov-bengaluru-society-common-area-sanitization,2026-07-05,Ahmedabad,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.48,0,519
prov-delhi-car-washing,2026-07-05,Ahmedabad,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.63,0,482
prov-lucknow-plumbing-repair-leakage-fix,2026-07-05,Ahmedabad,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.63,0,0
prov-ahmedabad-carpentry-furniture-assembly,2026-07-05,Ahmedabad,srv-paint-01,Wall Painting & Waterproofing,1,1,0,0,5.0,0,2080
prov-ahmedabad-gardening-balcony-greenery,2026-07-05,Ahmedabad,srv-pest-01,Organic Pest Control,1,1,0,0,4.95,0,868
prov-hyderabad-organic-pest-control,2026-07-05,Ahmedabad,srv-pest-01,Organic Pest Control,1,1,0,0,4.67,0,964
prov-siliguri-organic-pest-control,2026-07-05,Ahmedabad,srv-pest-01,Organic Pest Control,0,0,0,0,4.67,0,0
prov-ahmedabad-closet-organiser,2026-07-05,Ahmedabad,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.92,0,418
prov-ahmedabad-community-event-sound-electrical-setup,2026-07-05,Ahmedabad,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.73,0,418
prov-ahmedabad-moving-heavy-lifting-assistance,2026-07-05,Ahmedabad,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.94,0,437
prov-indore-wall-painting-waterproofing,2026-07-05,Ahmedabad,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.63,0,0
prov-ahmedabad-elder-assistance-companionship,2026-07-05,Ahmedabad,srv-soc-clean-01,Society Common Area Sanitization,1,1,0,0,4.53,0,2461
prov-bengaluru-most-01,2026-07-05,Bengaluru,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.87,0,0
prov-bengaluru-most-03,2026-07-05,Bengaluru,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.94,0,1275
prov-rajesh-01,2026-07-05,Bengaluru,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,5.0,0,0
prov-bengaluru-home-chef-meal-preparation,2026-07-05,Bengaluru,srv-elder-01,Elder Assistance & Companionship,3,3,0,0,4.83,1,1370
prov-bengaluru-carpentry-furniture-assembly,2026-07-05,Bengaluru,srv-paint-01,Wall Painting & Waterproofing,0,0,0,0,5.0,0,0
prov-kolkata-society-common-area-sanitization,2026-07-05,Bengaluru,srv-paint-01,Wall Painting & Waterproofing,2,2,0,0,4.65,1,3743
prov-siliguri-car-washing,2026-07-05,Bengaluru,srv-paint-01,Wall Painting & Waterproofing,0,0,0,0,4.62,0,0
prov-bengaluru-gardening-balcony-greenery,2026-07-05,Bengaluru,srv-pest-01,Organic Pest Control,0,0,0,0,4.99,0,0
prov-bengaluru-closet-organiser,2026-07-05,Bengaluru,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.8,0,0
prov-bengaluru-community-event-sound-electrical-setup,2026-07-05,Bengaluru,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.88,1,907
prov-bengaluru-moving-heavy-lifting-assistance,2026-07-05,Bengaluru,srv-plumb-01,Plumbing Repair & Leakage Fix,4,2,1,1,4.87,2,830
prov-chennai-12,2026-07-05,Bengaluru,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.5,0,0
prov-visakhapatnam-plumbing-repair-leakage-fix,2026-07-05,Bhopal,srv-carp-01,Carpentry & Furniture Assembly,0,0,0,0,4.56,0,0
prov-jaipur-society-common-area-sanitization,2026-07-05,Bhopal,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.53,0,468
prov-patna-car-washing,2026-07-05,Bhopal,srv-pest-01,Organic Pest Control,1,1,0,0,4.51,0,957
prov-lucknow-car-washing,2026-07-05,Bhopal,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.63,0,0
prov-siliguri-elder-assistance-companionship,2026-07-05,Bhopal,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.49,0,0
prov-chennai-most-01,2026-07-05,Chennai,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.79,0,1382
prov-hyderabad-plumbing-repair-leakage-fix,2026-07-05,Chennai,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.48,0,0
